,id,name,lat,lng
0,53a29eff498e6bc264a2f746,zeny's fast food,14.737028,121.051134
1,50a4b924e4b0cbb1fac2abd1,sm city fairview food court,14.734661719587873,121.05947075978406
2,4d294f6c888af04da15eceaf,bodhi vegetarian health food house,14.733963245432955,121.0600233078003
3,58dfc03b076be155f2ac96e4,rooftop food park,14.730262,121.060988
4,5800d3e738fa52c570ae707c,bodega food hub,14.728601298932816,121.06042125293848
5,5b231c1dfe63bd002c2ea6a6,limbooz food hub,14.735246,121.06787
6,4d29305d068e8cfaabc7cd4c,sm foodcourt,14.73455692873017,121.05925038164811
7,58a15b0c92789f6a81e4cdb9,food choices,14.736326,121.060265
8,5129cd27e4b089fc3fd3eeae,okuya food express,14.7333,121.060074
9,54521f45498e812da95ba9be,twist  comfort food + difference,14.736543,121.060147
10,50e2d7fce4b0cf8b51f2426a,"ala eh! bulalo, sm fairview food court",14.734495855533101,121.05954663296981
11,513c6441e4b01b2f749ae450,bulalo kween fastfood,14.735285,121.065845
12,50c1e9aae4b024b3005bf37b,mr. kimbob (korean health food),14.73163019097778,121.05932830844509
13,594fbcc128374e6b9ab21f23,chiebog food park,14.720081,121.065116
14,560ca551498eb2ee6d7e8153,master siomai sm food court,14.732599,121.057018
15,57f3ae5b498e17b35d7943f3,bodega food hub,14.730982,121.056157
16,53b6ebc1498ef0074d93dc5a,popsies food trip,14.720266342163086,121.06608581542969
17,51459ec8e4b0b6e410752cd5,lagro pinoy street food,14.720170651292104,121.06600662031755
18,57b036b8498ea963d2933172,pazar food park,14.719058368730098,121.06141407392639
19,4ef863da5c5c68fa0c25f953,mr. kimbob korean healthfood,14.734517208067366,121.05927803227524
20,57eddcf8498e6293246dafe9,bodega foodhub,14.726361,121.057465
21,56655918498e1a6146ad6148,ate v foodhouse,14.726146,121.066912
22,51445feee4b027a9f98bb425,"baliwag lechon manok , sm fairview foodcourt",14.73517,121.05989
23,4e6f480daeb74b05752f29e8,foodmatch,14.745464170142775,121.06548602760883
24,507ac86ae4b027cede55bbc8,kitchen of foodies,14.718022346496582,121.06830596923828
27,4d8dc14a5091a1cd7ce07e01,mcdonald's,14.73453954207215,121.05961970808784
28,4c5674bc6201e21e7c37196d,mcdonald's,14.73534963951429,121.05569834733394
29,55bd8d46498e49490324d152,mcdonald's lagro,14.7353621996208,121.06437345951704
30,5a13adcdbd40091f12086c82,mcdonald's,14.727813830555526,121.05748500258983
31,533fd811498ef887d6fb3d9f,mcdonald's,14.737139839063309,121.05941422006867
32,562d8f10498e7ab0c47a36e6,mcdonald's,14.735411,121.064267
33,535b343911d2edf10bb24071,mcdonald's,14.73466462293216,121.05963620189101
