region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
Region IV-A,Our Lady of Assumption College-Cabuyao,19,ND,ND
Region IV-A,Skill Power Institute,260,29,1 is to 9
Region IV-A,Oxfordian Colleges,149,15,1 is to 10
Region IV-A,CVE Colleges,20,15,1 is to 1
Region IV-A,San Sebastian College Recoletos-Canlubang,363,31,1 is to 12
Region IV-A,Westmead International School,1281,96,1 is to 13
Region IV-A,Agoncillo College,136,24,1 is to 6
Region IV-A,Colegio de Amore,224,21,1 is to 11
Region IV-A,Far Eastern Polytechnic College,141,7,1 is to 20
Region IV-A,Immanuel College of Theology,25,11,1 is to 2
Region IV-A,Batangas College of Arts and Sciences,139,25,1 is to 6
Region IV-A,Malayan Colleges of Laguna,3783,104,1 is to 36
Region IV-A,NYK-TDG Maritime Academy,464,18,1 is to 26
Region IV-A,Sumulong College of Arts and Sciences,166,30,1 is to 6
Region IV-A,Saint Vincent College of Cabuyao,236,20,1 is to 12
Region IV-A,Our Lady of Fatima University-Antipolo,6798,215,1 is to 32
Region IV-A,STI College-Tanay,422,44,1 is to 10
Region IV-A,Lyceum of the Philippines-Cavite,7540,223,1 is to 34
Region IV-A,Asian Institute of Technology and Education Tiaong Campus,216,22,1 is to 10
Region IV-A,Philippine Best Training Systems Colleges,268,ND,ND
Region IV-A,St. Joseph's College of Rodriguez,39,ND,ND
Region IV-A,College of San Benildo-Rizal,111,8,1 is to 14
Region IV-A,STI College-Tagaytay,98,14,1 is to 7
Region IV-A,ISHRM School System-Dasmarinas,54,5,1 is to 11
Region IV-A,Laguna Northwestern College SLRMC,23,ND,ND
Region IV-A,Far Eastern College-Silang,455,32,1 is to 14
Region IV-A,Abe International Business College-Quezon Province,223,17,1 is to 13
Region IV-A,Asia Pacific Christian College and Seminary,68,18,1 is to 4
Region IV-A,Asia Technological School of Science and Arts,377,39,1 is to 10
Region IV-A,CSTC Computer Systems Technology College,373,21,1 is to 18
Region IV-A,Evangelical Theological College of the Philippines-Luzon,46,12,1 is to 4
Region IV-A,Guinayangan College Foundation,115,13,1 is to 9
Region IV-A,Jesus Reigns Christian College,73,ND,ND
Region IV-A,Mary Help of Christians College-Salesian Sisters,42,9,1 is to 5
Region IV-A,The Bearer of Light and Wisdom Colleges,65,18,1 is to 4
Region IV-A,University of Batangas-Lipa,747,ND,ND
Region IV-A,Young Ji College,5,13,1 is to 0
Region V,Aemilianum College,401,42,1 is to 10
Region V,Ago Medical and Educational Center,642,17,1 is to 38
Region V,Bicol Christian College of Medicine,ND,16,ND
Region V,De Vera Institute of Technology,24,12,1 is to 2
Region V,Annunciation College of Bacon Sorsogon Unit,183,25,1 is to 7
Region V,Aquinas University of Legazpi,2992,191,1 is to 16
Region V,Ateneo De Naga University,6994,375,1 is to 19
Region V,Bicol College,2158,123,1 is to 18
Region V,Bicol Merchant Marine College,1015,22,1 is to 46
Region V,Camarines Norte College,354,20,1 is to 18
Region V,Catanduanes Colleges,1688,60,1 is to 28
Region V,Ceguera Technological College,354,39,1 is to 9
Region V,Saint Louise De Marillac College of Sorsogon,655,42,1 is to 16
Region V,Universidad de Sta. Isabel,2862,4,1 is to 716
Region V,Computer Arts and Technological College,407,36,1 is to 11
Region V,Computer Communication Development Institute-Naga,208,20,1 is to 10
Region V,Computer Communication Development Institute-Goa,96,17,1 is to 6
Region V,Computer Communication Development Institute-Iriga City,82,15,1 is to 5
Region V,Daniel B. Pena Memorial College Foundation,1205,50,1 is to 24
Region V,Divine Word College of Legazpi,2997,141,1 is to 21
Region V,Felix O. Alfelor  Sr. Foundation College,182,15,1 is to 12
Region V,Alfelor Sr. Memorial College,432,30,1 is to 14
Region V,Fatima School of Science and Technology,25,6,1 is to 4
Region V,Holy Rosary Major Seminary,85,21,1 is to 4
Region V,Holy Trinity College,406,27,1 is to 15
Region V,Immaculate Conception College-Albay,140,35,1 is to 4
Region V,La Consolacion College-Iriga City,290,25,1 is to 12
Region V,La Consolacion College-Daet,285,32,1 is to 9
Region V,Liceo De Masbate,470,45,1 is to 10
Region V,Liceo de San Jacinto Foundation,530,25,1 is to 21
Region V,Mabini Colleges,2450,77,1 is to 32
Region V,Mariners' Polytechnic Colleges Foundation-Baras,2063,75,1 is to 28
Region V,Mariners' Polytechnic Colleges Foundation-Panganiban,1133,46,1 is to 25
Region V,Mariners' Polytechnic Colleges Foundation-Legazpi,3041,85,1 is to 36
Region V,Masbate College,1919,72,1 is to 27
Region V,Mater Salutis College Seminary,52,17,1 is to 3
Region V,Naga College Foundation,2170,147,1 is to 15
Region V,Osmena College,2923,83,1 is to 35
Region V,Our Lady of Lourdes College Foundation,1274,85,1 is to 15
Region V,Our Lady of Penafrancia Seminary,35,11,1 is to 3
Region V,Ovilla Technical College,29,13,1 is to 2
Region V,Partido College,1422,51,1 is to 28
Region V,Perpetual Help Paramedical School,184,18,1 is to 10
Region V,Pili Capital College,137,18,1 is to 8
Region V,Polytechnic Institute of Tabaco,1086,51,1 is to 21
Region V,Naga View Adventist College,205,29,1 is to 7
Region V,R.G. De Castro Colleges,914,37,1 is to 25
Region V,Republic Colleges of Guinobatan,470,25,1 is to 19
Region V,Southern Bicol Colleges,320,52,1 is to 6
Region V,Southern Luzon Institute,97,10,1 is to 10
Region V,Southern Masbate Roosevelt College,404,22,1 is to 18
Region V,Tabaco College,520,1,1 is to 520
Region V,Tanchuling College,129,22,1 is to 6
Region V,University of Northeastern Philippines,1881,144,1 is to 13
Region V,University of Nueva Caceres,4295,164,1 is to 26
Region V,University of Saint Anthony,2542,132,1 is to 19
Region V,Veritas College of Irosin,939,44,1 is to 21
Region V,Worldtech Resources Foundation-Naga City,101,16,1 is to 6
Region V,Worldtech Resources Foundation-Iriga City,140,16,1 is to 9
Region V,STI College-Legazpi,307,29,1 is to 11
Region V,Holy Family Center of Studies Foundation,30,17,1 is to 2
Region V,Holy Rosary Minor Seminary,104,22,1 is to 5
Region V,Lower Isarog Foundation Exponent,135,9,1 is to 15
Region V,Speed Computer College,292,21,1 is to 14
Region V,Zamora Memorial College,398,27,1 is to 15
Region V,Colegio De Sta. Monica of Polangui,70,14,1 is to 5
Region V,Computer Communication Development Institute-Legazpi City,321,19,1 is to 17
Region V,Sorsogon College of Criminology,429,19,1 is to 23
Region V,St. Peter Baptist College Foundation,48,12,1 is to 4
Region V,MABA Computer Oriented High School and College Laboratory and Tutorial Center Foundation,78,12,1 is to 7
Region V,AMA Computer College-Legazpi City,384,24,1 is to 16
Region V,Dr. Carlos S. Lanting College-Dr. Ruby Lanting Casaul Educational Foundation,251,22,1 is to 11
Region V,Programming Language Technique College,377,23,1 is to 16
Region V,Holy Trinity College Seminary,51,18,1 is to 3
Region V,AMA Computer College-Naga City,330,13,1 is to 25
Region V,Catanduanes Institute of Technology Foundation,17,17,1 is to 1
Region V,"Camarines Norte School of Laws, Arts and Sciences",544,32,1 is to 17
Region V,Solis Institute of Technology,326,20,1 is to 16
Region V,The Lewis College,648,24,1 is to 27
Region V,West Coast College,241,18,1 is to 13
Region V,Sta. Elena College-Camarines Norte,101,17,1 is to 6
Region V,Brentwood College of Asia International School,93,14,1 is to 7
Region V,Capalonga College,171,18,1 is to 10
Region V,Southern Luzon Technological College Foundation-Legazpi,1287,32,1 is to 40
Region V,Our Lady of Salvation College,238,17,1 is to 14
Region V,Aeronautical Academy of the Philippines,168,14,1 is to 12
Region V,Computer Communication Development Institute-Sorsogon,322,20,1 is to 16
Region V,Amando Cope College,270,26,1 is to 10
Region V,Luis H. Dilanco Sr. Foundation College,39,10,1 is to 4
Region V,Regina Mondi College,46,15,1 is to 3
Region V,Siena College Tigaon,92,20,1 is to 5
Region V,Belen B. Francisco Foundation,24,20,1 is to 1
Region V,Estenias Science Foundation School,21,11,1 is to 2
Region V,Our Lady of the Most Holy Trinity College Seminary,49,12,1 is to 4
Region V,Philippine Computer Foundation College-Naga City,107,11,1 is to 10
Region V,Christian Polytechnic Institute of Catanduanes,313,10,1 is to 31
Region V,Forbes Colleges,832,25,1 is to 33
Region V,Jesus the Loving Shepherd Christian College,96,20,1 is to 5
Region V,ACLC College of Daet,378,14,1 is to 27
Region V,ACLC College of Sorsogon,444,12,1 is to 37
Region V,Infotech Development Systems Colleges,159,14,1 is to 11
Region V,Southern Luzon Technological College Foundation-Pilar,79,7,1 is to 11
Region V,Southern Luzon Technological College Foundation-Pioduran,62,14,1 is to 4
Region V,Philippine Computer Foundation College-Pili,46,3,1 is to 15
Region V,Belen B. Francisco Foundation-Albay,16,4,1 is to 4
Region VI,Aklan Catholic College,1446,100,1 is to 14
Region VI,Aklan Polytechnic College,2114,65,1 is to 33
Region VI,ACSI College Iloilo,475,11,1 is to 43
Region VI,Binalbagan Catholic College,1589,59,1 is to 27
Region VI,Cabalum Western College,282,19,1 is to 15
Region VI,Cabarrus Catholic College,336,25,1 is to 13
Region VI,Central Negros College,587,19,1 is to 31
Region VI,Central Philippine Adventist College,954,75,1 is to 13
Region VI,Central Philippine University,10442,624,1 is to 17
Region VI,Colegio de la Purisima Concepcion ,4764,186,1 is to 26
Region VI,Colegio San Agustin-Bacolod,2630,170,1 is to 15
Region VI,Colegio de San Jose-Jaro,314,29,1 is to 11
Region VI,Colegio De Sta. Rita,643,58,1 is to 11
Region VI,Colegio del Sagrado Corazon de Jesus,692,33,1 is to 21
Region VI,Fellowship Baptist College,882,74,1 is to 12
Region VI,Filamer Christian University,3116,153,1 is to 20
Region VI,Fortress College,46,16,1 is to 3
Region VI,Garcia College of Technology,2645,57,1 is to 46
Region VI,Iloilo Doctors' College,3026,241,1 is to 13
Region VI,Iloilo Doctors' College of Medicine,187,88,1 is to 2
Region VI,John B. Lacson Colleges Foundation-Bacolod,3863,140,1 is to 28
Region VI,John B. Lacson Foundation Maritime University-Molo,5150,145,1 is to 36
Region VI,John B. Lacson Foundation Maritime University-Arevalo,4332,106,1 is to 41
Region VI,Kabankalan Catholic College,827,46,1 is to 18
Region VI,La Consolacion College-Bacolod,3015,160,1 is to 19
Region VI,La Consolacion College-Isabela,242,36,1 is to 7
Region VI,Mount Carmel College,605,38,1 is to 16
Region VI,St. Therese MTC Colleges-Tigbauan,3158,46,1 is to 69
Region VI,North Negros College,561,21,1 is to 27
Region VI,Northwestern Visayan Colleges,2570,90,1 is to 29
Region VI,Panay Technological College,54,16,1 is to 3
Region VI,Riverside College,1832,133,1 is to 14
Region VI,St. Anthony College of Roxas City,195,43,1 is to 5
Region VI,Saint Anthony's College-Antique,1698,114,1 is to 15
Region VI,Saint Gabriel College,283,45,1 is to 6
Region VI,St. Paul University of Iloilo,1581,128,1 is to 12
Region VI,St. Vincent Ferrer Seminary,46,21,1 is to 2
Region VI,Sancta Maria Mater et Regina Seminarium,64,20,1 is to 3
Region VI,Silay Institute,292,29,1 is to 10
Region VI,Southern Negros College,147,14,1 is to 11
Region VI,Santo Nino Seminary,35,19,1 is to 2
Region VI,University of Iloilo,5088,211,1 is to 24
Region VI,University of Negros Occidental-Recoletos,5409,280,1 is to 19
Region VI,University of Saint La Salle,9357,517,1 is to 18
Region VI,University of San Agustin,9320,469,1 is to 20
Region VI,VMA Global College,2376,92,1 is to 26
Region VI,West Negros University,2875,185,1 is to 16
Region VI,Western Institute of Technology,5603,186,1 is to 30
Region VI,STI College-Iloilo,224,10,1 is to 22
Region VI,Pandan Bay Institute,133,15,1 is to 9
Region VI,STI College-Bacolod,296,9,1 is to 33
Region VI,Tanon College,411,20,1 is to 21
Region VI,AMA Computer College-Bacolod,244,14,1 is to 17
Region VI,AMA Computer College-Iloilo,206,13,1 is to 16
Region VI,Interface Computer College-Iloilo,614,25,1 is to 25
Region VI,College of St. John-Roxas,205,37,1 is to 6
Region VI,Mater Dei College-Silay City,49,27,1 is to 2
Region VI,St. Anne College of Iloilo,116,11,1 is to 11
Region VI,St. Therese MTC Colleges-La Fiesta,1497,58,1 is to 26
Region VI,ABE International College of Business and Economics-Bacolod,700,19,1 is to 37
Region VI,Dominican College of Iloilo,134,20,1 is to 7
Region VI,Integrated Midwives Association of the Philippines Foundation School of Midwifery,51,8,1 is to 6
Region VI,St. Therese MTC Colleges-Magdalo,1686,54,1 is to 31
Region VI,ABE International College of Business and Economics-Iloilo,1426,34,1 is to 42
Region VI,Capiz State University-Dumarao Campus,762,ND,ND
Region VI,STI College-Kalibo,477,31,1 is to 15
Region VI,Convention Baptist Bible College,136,20,1 is to 7
Region VI,Hercor College,3978,56,1 is to 71
Region VI,Sacred Heart Seminary School-Bacolod,62,24,1 is to 3
Region VI,St. John Mary Vianney Seminary,52,21,1 is to 2
Region VI,Great Saviour College,130,21,1 is to 6
Region VI,St. Vincent College of Science and Technology,579,14,1 is to 41
Region VI,Southland College,505,18,1 is to 28
Region VI,CEDAR College,120,12,1 is to 10
Region VI,Advance Central College,293,23,1 is to 13
Region VI,GSEF College,83,10,1 is to 8
Region VI,ACLC College of Iloilo,204,12,1 is to 17
Region VI,Colegio de Sta. Ana de Victorias,361,15,1 is to 24
Region VII,AMA Computer College-Cebu City,283,13,1 is to 22
Region VII,Asian College of Technology,6567,140,1 is to 47
Region VII,BIT International College-Siquijor,47,11,1 is to 4
Region VII,Baptist Theological College,131,24,1 is to 5
Region VII,Blessed Trinity College,165,30,1 is to 6
Region VII,BIT International College-Tagbilaran,1638,79,1 is to 21
Region VII,Bohol Institute of Technology-Jagna,255,14,1 is to 18
Region VII,Bohol Institute of Technology-Talibon,203,14,1 is to 15
Region VII,Cebu Aeronautical Technical School,562,20,1 is to 28
Region VII,Cebu Doctor's University,4777,270,1 is to 18
Region VII,Cebu Doctor's University College of Medicine,515,194,1 is to 3
Region VII,Cebu Eastern College,445,15,1 is to 30
Region VII,Cebu Institute of Medicine,630,127,1 is to 5
Region VII,Cebu Institute of Technology-University,10405,283,1 is to 37
Region VII,Cebu Roosevelt Memorial College,1284,93,1 is to 14
Region VII,Saint Paul College Foundation,590,42,1 is to 14
Region VII,Cebu School of Midwifery,51,10,1 is to 5
Region VII,College of Technological Sciences-Cebu,631,24,1 is to 26
Region VII,Colegio De Sta. Catalina De Alejandria,316,ND,ND
Region VII,Concord Technical Institute,494,14,1 is to 35
Region VII,Holy Name University,5849,240,1 is to 24
Region VII,Diaz College,654,37,1 is to 18
Region VII,Felipe R. Verallo Memorial Foundation-Bogo,799,44,1 is to 18
Region VII,Foundation University,2997,121,1 is to 25
Region VII,University of the Visayas-Gullas College of Medicine,430,112,1 is to 4
Region VII,Holy Trinity College,38,11,1 is to 3
Region VII,Immaculate Heart of Mary Seminary,86,22,1 is to 4
Region VII,Indiana School of Aeronautics,1157,28,1 is to 41
Region VII,University of the Visayas-Mandaue Campus,181,18,1 is to 10
Region VII,Manto Memorial Foundation College,178,14,1 is to 13
Region VII,Mater Dei College-Bohol,1033,71,1 is to 15
Region VII,Northern Cebu College,342,16,1 is to 21
Region VII,PMI Colleges-Bohol,5006,62,1 is to 81
Region VII,Saint Francis College-Guihulngan,386,36,1 is to 11
Region VII,Saint Joseph College of Canlaon,550,31,1 is to 18
Region VII,Saint Joseph Seminary College,52,18,1 is to 3
Region VII,St. Paul University Dumaguete,1848,110,1 is to 17
Region VII,Saint Theresa's College of Cebu,424,41,1 is to 10
Region VII,Salazar Colleges of Science and Institute of Technology,2968,41,1 is to 72
Region VII,San Carlos Seminary College,109,16,1 is to 7
Region VII,Silliman University,6973,531,1 is to 13
Region VII,Southwestern University,7617,318,1 is to 24
Region VII,Saint Catherines' College,630,45,1 is to 14
Region VII,Southwestern University-Matias H. Aznar Memorial College of Medicine,794,153,1 is to 5
Region VII,University of the Visayas-Gullas College Toledo Branch,2354,72,1 is to 33
Region VII,University of Bohol,5666,244,1 is to 23
Region VII,University of Cebu,21886,160,1 is to 137
Region VII,University of San Carlos,19400,816,1 is to 24
Region VII,University of San Jose-Recoletos,11750,439,1 is to 27
Region VII,University of Southern Philippines Foundation,1877,145,1 is to 13
Region VII,University of the Visayas,8727,ND,ND
Region VII,Quezon Memorial Institute of Siquijor,187,20,1 is to 9
Region VII,Velez College,2892,144,1 is to 20
Region VII,Villaflores College,817,23,1 is to 36
Region VII,Batuan Colleges,55,9,1 is to 6
Region VII,Don Bosco Technology Center,275,50,1 is to 6
Region VII,Negros Maritime College Foundation,379,18,1 is to 21
Region VII,Royal Christian College,624,30,1 is to 21
Region VII,University of Cebu-Lapulapu and Mandaue,10787,263,1 is to 41
Region VII,Asian College of Science and Technology-Dumaguete,508,36,1 is to 14
Region VII,De La Salle Andres Soriano Memorial College,142,18,1 is to 8
Region VII,Bantayan Southern Institute,284,26,1 is to 11
Region VII,Mount Moriah College,287,17,1 is to 17
Region VII,Presbyterian Theological College,92,20,1 is to 5
Region VII,STI College-Cebu City,267,17,1 is to 16
Region VII,Visayan Nazarene Bible College,54,21,1 is to 3
Region VII,Bohol Northern Star College,343,39,1 is to 9
Region VII,CBD College,135,13,1 is to 10
Region VII,Consolatrix College of Toledo City,496,40,1 is to 12
Region VII,Evangelical Theological College of the Philippines,99,24,1 is to 4
Region VII,Saint Louise de Marillac College-Bogo,375,22,1 is to 17
Region VII,Seminaryo Mayor de San Carlos,87,13,1 is to 7
Region VII,Advanced Institute of Technology,32,7,1 is to 5
Region VII,Collegium Societatis Angeli Pacis,49,15,1 is to 3
Region VII,Centre for International Education Global Colleges,59,15,1 is to 4
Region VII,BIT International College-Carmen,28,9,1 is to 3
Region VII,AMA Computer College-Dumaguete City,432,17,1 is to 25
Region VII,Flight Dynamic School of Aeronautics,21,8,1 is to 3
Region VII,University of the Visayas-Gullas College Danao City Branch,373,24,1 is to 16
Region VII,Negros College,794,40,1 is to 20
Region VII,Benedicto College,379,39,1 is to 10
Region VII,Northeastern Cebu Colleges,305,21,1 is to 15
Region VII,St. Paul College Foundation-Mandaue,133,9,1 is to 15
Region VII,University of Cebu-Banilad,6643,150,1 is to 44
Region VII,Bohol Northwestern College,280,11,1 is to 25
Region VII,Cebu Sacred Heart College,82,21,1 is to 4
Region VII,Larmen De Guia Memorial College,14,10,1 is to 1
Region VII,BMC College,0,ND,ND
Region VII,Interface Computer College,347,12,1 is to 29
Region VII,Mary's Children Formation College,58,17,1 is to 3
Region VII,Rogationist Seminary College-Cebu,187,17,1 is to 11
Region VII,Colegio de San Antonio de Padua,861,55,1 is to 16
Region VII,Cristal e-College,343,18,1 is to 19
Region VII,STI College-Tagbilaran,580,26,1 is to 22
Region VII,University of the Visayas-Gullas College Minglanilla Campus,396,10,1 is to 40
Region VII,Bohol Wisdom School,123,23,1 is to 5
Region VII,Central Philippine Bible College,40,13,1 is to 3
Region VII,Cebu Mary Immaculate College,248,19,1 is to 13
Region VII,ACLC College of Mandaue,876,65,1 is to 13
Region VII,Immanuel Bible College,91,27,1 is to 3
Region VII,Trade-Tech International Science Institute,269,25,1 is to 11
Region VII,Cristal e-College-Panglao Campus,1405,62,1 is to 23
Region VII,Professional Academy of the Philippines,1122,39,1 is to 29
Region VII,La Consolacion College-Liloan,205,18,1 is to 11
Region VII,Sto. Tomas College,155,18,1 is to 9
Region VII,Microsystem International Institute of Technology,102,11,1 is to 9
Region VII,Metro Dumaguete College,267,29,1 is to 9
Region VII,University of The Visayas-Dalaguete Campus,370,24,1 is to 15
Region VII,Maxino College,144,14,1 is to 10
Region VII,La Consolacion College-Bais,473,41,1 is to 12
Region VII,Lyceum of Cebu,147,23,1 is to 6
Region VII,Golden Success College,83,26,1 is to 3
Region VII,ACLC College of Tagbilaran,256,10,1 is to 26
Region VII,St. Cecilia's College-Cebu,166,23,1 is to 7
Region VII,NISSI Academy ,9,5,1 is to 2
Region VII,Saint Louis College-Cebu ,28,20,1 is to 1
Region VII,Mary Our Help Technical Institute for Women,100,19,1 is to 5
Region VII,Carmelite College-Siquijor ,32,10,1 is to 3
Region VII,Rosemont Hills Montessori Academy ,20,12,1 is to 2
Region VII,I.K.O.N. College ,143,10,1 is to 14
Region VII,Tabor Hills College,26,11,1 is to 2
Region VII,Rizwoods Colleges,ND,12,ND
Region VIII,Asian Development Foundation College,4063,76,1 is to 53
Region VIII,Christ the King College-Calbayog City,1209,45,1 is to 27
Region VIII,The College of Maasin,456,83,1 is to 5
Region VIII,Dr. V. Orestes Romualdez Educational Foundation,257,16,1 is to 16
Region VIII,Dona Remedios Trinidad Medical Foundation,1037,133,1 is to 8
Region VIII,Franciscan College of the Immaculate Conception,602,39,1 is to 15
Region VIII,Holy Infant College,658,48,1 is to 14
Region VIII,Leyte Colleges,2216,94,1 is to 24
Region VIII,Northern Leyte College,87,15,1 is to 6
Region VIII,Saint Mary's College of Catbalogan,1187,39,1 is to 30
Region VIII,Sacred Heart Seminary,56,15,1 is to 4
Region VIII,Saint Francis College,87,18,1 is to 5
Region VIII,Saint Joseph College,2993,119,1 is to 25
Region VIII,St. Mary's College of Borongan,343,33,1 is to 10
Region VIII,Saint Peter's College of Ormoc,384,28,1 is to 14
Region VIII,St. Vincent De Paul College Seminary,68,13,1 is to 5
Region VIII,Samar College,2819,78,1 is to 36
Region VIII,Colegio De San Lorenzo Ruiz De Manila of Northern Samar,754,104,1 is to 7
Region VIII,Saint James College of Padre Burgos,59,16,1 is to 4
Region VIII,Saint Paul School of Business and Law,3585,45,1 is to 80
Region VIII,Saint Thomas Aquinas College,138,30,1 is to 5
Region VIII,Sto. Nino College of Ormoc,663,40,1 is to 17
Region VIII,Western Leyte College of Ormoc City,1804,98,1 is to 18
Region VIII,J.E. Mondejar Computer College,236,36,1 is to 7
Region VIII,Mater Divinae Gratiae College,177,16,1 is to 11
Region VIII,Our Lady of Mercy College,262,20,1 is to 13
Region VIII,Bato Institute of Science and Technology,547,22,1 is to 25
Region VIII,Holy Cross College of Carigara,373,32,1 is to 12
Region VIII,STI College-Tacloban,332,19,1 is to 17
Region VIII,Jose Navarro Polytechnic College,76,16,1 is to 5
Region VIII,STI College-Ormoc,580,27,1 is to 21
Region VIII,Eastern Visayas Central Colleges,636,26,1 is to 24
Region VIII,AMA Computer College-Tacloban City,255,14,1 is to 18
Region VIII,Saint Scholastica's College Tacloban,839,50,1 is to 17
Region VIII,ABE International College of Business and Economics-Tacloban City,436,18,1 is to 24
Region VIII,Saint Michael College-Hindang Campus,408,33,1 is to 12
Region VIII,Holy Spirit College Foundation of Leyte,119,17,1 is to 7
Region VIII,MLG College of Learning,247,14,1 is to 18
Region VIII,Northern Samar Colleges,164,31,1 is to 5
Region VIII,"Asia College of Advance Studies In Arts, Sciences and Technology",867,25,1 is to 35
Region VIII,Leyte School of Professionals,79,6,1 is to 13
Region VIII,St. John the Evangelist School of Theology,15,36,1 is to 0
Region VIII,Colegio De San Juan Samar,414,24,1 is to 17
Region VIII,Colegio De Sta. Lourdes of Leyte Foundation,170,31,1 is to 5
Region VIII,East Pacific Computer College,200,12,1 is to 17
Region VIII,Colegio de la Salle Fondation de Tacloban,462,15,1 is to 31
Region VIII,Holy Virgin of Salvacion Foundation College,60,17,1 is to 4
Region VIII,San Lorenzo Ruiz College of Ormoc,238,31,1 is to 8
Region VIII,ACLC College of Tacloban City,1344,41,1 is to 33
Region VIII,Calbiga Western Samar College,144,17,1 is to 8
Region VIII,ACLC College of Ormoc,206,10,1 is to 21
Region VIII,Tan Ting Bing Memorial Colleges Foundation,627,18,1 is to 35
Region VIII,Global School for Technological Studies,133,24,1 is to 6
Region VIII,Visayas Christian Institute of Technology,66,8,1 is to 8
Region IX,Andres Bonifacio College,1938,106,1 is to 18
Region IX,Ateneo De Zamboanga University,4334,270,1 is to 16
Region IX,Brent Hospital and Colleges,1304,81,1 is to 16
Region IX,Claret College of Isabela,1234,67,1 is to 18
Region IX,Dipolog Medical Center College Foundation,845,79,1 is to 11
Region IX,Dr. Aurelio Mendoza Memorial College,1056,45,1 is to 23
Region IX,Immaculate Conception Archdiocesan School,237,21,1 is to 11
Region IX,Juan S. Alano Memorial School,83,12,1 is to 7
Region IX,Marian College,578,32,1 is to 18
Region IX,Mein College,215,28,1 is to 8
Region IX,Blancia College Foundation,265,23,1 is to 12
Region IX,Philippine Advent College,623,44,1 is to 14
Region IX,Pilar College,1314,87,1 is to 15
Region IX,Rizal Memorial Institute of Dapitan City,254,23,1 is to 11
Region IX,Saint Columban College,3438,90,1 is to 38
Region IX,Saint John Hospital and Colleges,199,18,1 is to 11
Region IX,Saint Joseph College,1739,46,1 is to 38
Region IX,Saint Vincent's College,4385,115,1 is to 38
Region IX,Saint Estanislao Kostka College,112,16,1 is to 7
Region IX,Southern Mindanao College-Agro Tech,17,2,1 is to 9
Region IX,Southern City Colleges,1054,49,1 is to 22
Region IX,Southern Mindanao Colleges,4554,127,1 is to 36
Region IX,Universidad de Zamboanga,7163,270,1 is to 27
Region IX,STI College-Zamboanga,406,30,1 is to 14
Region IX,Medina College-Pagadian,601,32,1 is to 19
Region IX,Zamboanga Del Sur Maritime Institute of Technology,2313,56,1 is to 41
Region IX,Pagadian Capitol College,849,42,1 is to 20
Region IX,Aurora Pioneer Memorial College,387,42,1 is to 9
Region IX,Dipolog City Institute of Technology,324,28,1 is to 12
Region IX,Ebenezer Bible College and Seminary,64,23,1 is to 3
Region IX,St. Mary's College of Labason,316,29,1 is to 11
Region IX,AMA Computer College-Zamboanga City,584,24,1 is to 24
Region IX,Colegio De San Francisco Javier,608,29,1 is to 21
Region IX,Richmond Montessori College,9,8,1 is to 1
Region IX,Computer Technologies Institute of Zamboanga City,188,12,1 is to 16
Region IX,Computer Technologies Institute of Basilan,34,10,1 is to 3
Region IX,HMIJ Foundation Philippine Islamic College,186,20,1 is to 9
Region IX,Eastern Mindanao College of Technology,133,26,1 is to 5
Region IX,Universidad de Zamboanga-Ipil,788,42,1 is to 19
Region IX,Medina College-Ipil,376,21,1 is to 18
Region IX,Southwestern Philippines Foundation College,12,5,1 is to 2
Region IX,Philippine Technological and Marine Sciences-Zamboanga del Sur,38,7,1 is to 5
Region IX,Western Mindanao Foundation College,282,13,1 is to 22
Region IX,Southern Peninsula College,221,21,1 is to 11
Region IX,Lucan Polytechnic College,104,21,1 is to 5
Region IX,Sibugay Technical Institute,1492,41,1 is to 36
Region IX,Mendero College,107,9,1 is to 12
Region IX,Aim High College,68,9,1 is to 8
Region IX,Ave Maria College,106,16,1 is to 7
Region IX,Hyrons College Philippines,71,15,1 is to 5
Region IX,Nuevo Zamboanga College,344,23,1 is to 15
Region IX,Pastor Bonus Seminary,60,19,1 is to 3
Region IX,Philippine Advent College-Salug,47,13,1 is to 4
Region IX,Yllana Bay View College,362,22,1 is to 16
Region X,Alemarz School of Science and Technology Foundation,34,12,1 is to 3
Region X,Blessed Mother College,124,28,1 is to 4
Region X,Capitol University,5637,163,1 is to 35
Region X,Cagayan De Oro College,5608,190,1 is to 30
Region X,Christ the King College,851,59,1 is to 14
Region X,Colegio De Santo Nino De Jasaan,199,16,1 is to 12
Region X,Fatima College of Camiguin,560,42,1 is to 13
Region X,Gingoog City Junior College,644,38,1 is to 17
Region X,Gingoog Christian College,354,23,1 is to 15
Region X,Guevarra Institute of Technology,11,8,1 is to 1
Region X,La Salle University,3653,162,1 is to 23
Region X,Liceo De Cagayan University,6818,352,1 is to 19
Region X,Lourdes College,1683,120,1 is to 14
Region X,Medina College,1698,59,1 is to 29
Region X,Medina Foundation College,378,15,1 is to 25
Region X,Mindanao Arts and Technological Institute,463,18,1 is to 26
Region X,Misamis Institute of Technology,945,38,1 is to 25
Region X,Misamis University-Ozamis City,5748,229,1 is to 25
Region X,Misamis University-Oroquieta City,808,37,1 is to 22
Region X,Mountain View College,1930,115,1 is to 17
Region X,Golden Heritage Polytechnic College,701,39,1 is to 18
Region X,Northwestern Mindanao Christian Colleges,59,13,1 is to 5
Region X,Philippine College Foundation,321,26,1 is to 12
Region X,Pilgrim Christian College,703,72,1 is to 10
