region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
Region II,Saint Ferdinand College ,174,17,1 is to 10
Region II,MCN College,64,7,1 is to 9
Region II,Central College of the North,89,12,1 is to 7
Region II,FL Vargas College-Abulug,281,38,1 is to 7
Region II,Metropolitan School of Science and Technology,63,9,1 is to 7
Region II,STI College-Tuguegarao,134,9,1 is to 15
Region II,Sierra College,334,12,1 is to 28
Region II,University of Perpetual Help System,860,50,1 is to 17
Region II,Eastern Luzon Colleges,886,48,1 is to 18
Region II,STI College-Santiago City,226,12,1 is to 19
Region II,HG Baquiran College,307,21,1 is to 15
Region II,Infant Jesus Montessori School-College Department,81,14,1 is to 6
Region II,Maila Rosario Colleges,62,22,1 is to 3
Region II,Our Lady of the Pillar College-Cauayan San Manuel Branch,363,24,1 is to 15
Region II,Northeast Luzon Adventist College,17,9,1 is to 2
Region III,Angeles University Foundation,6930,425,1 is to 16
Region III,Sto. Rosario Sapang Palay College,552,40,1 is to 14
Region III,Baliuag University,3865,176,1 is to 22
Region III,Baliuag Maritime Foundation,594,23,1 is to 26
Region III,Saint Patrick College,47,14,1 is to 3
Region III,Bataan Heroes Memorial College,590,29,1 is to 20
Region III,Camiling Colleges,266,14,1 is to 19
Region III,CIT Colleges of Paniqui Foundation,962,38,1 is to 25
Region III,Central Luzon Doctors' Hospital Educational Institution,1456,88,1 is to 17
Region III,Central Luzon College of Technology-Olongapo,720,37,1 is to 19
Region III,Centro Escolar University,2352,89,1 is to 26
Region III,Colegio De San Pascual Baylon,105,27,1 is to 4
Region III,College of the Holy Spirit of Tarlac,435,36,1 is to 12
Region III,College of the Immaculate Conception,2122,99,1 is to 21
Region III,CORE Gateway College,912,31,1 is to 29
Region III,Columban College-Olongapo City,3216,181,1 is to 18
Region III,College for Research and Technology-Cabanatuan City,498,30,1 is to 17
Region III,World Citi Colleges-Guimba Campus,271,18,1 is to 15
Region III,Divina Pastora College,246,12,1 is to 21
Region III,Dominican College of Tarlac,650,12,1 is to 54
Region III,Dr. Gloria D. Lacson Foundation Colleges-Nueva Ecija,807,34,1 is to 24
Region III,Dr. Yanga's Colleges,2696,116,1 is to 23
Region III,East Central Colleges,314,41,1 is to 8
Region III,Ednor Colleges,52,7,1 is to 7
Region III,General De Jesus College,1060,48,1 is to 22
Region III,The Good Samaritan Colleges,760,63,1 is to 12
Region III,Guagua National Colleges,1049,64,1 is to 16
Region III,Harvardian Colleges,1805,ND,ND
Region III,Holy Angel University,13494,483,1 is to 28
Region III,Holy Cross College-Nueva Ecija,168,19,1 is to 9
Region III,Holy Cross College-Pampanga,342,43,1 is to 8
Region III,Immaculate Conception Major Seminary,131,23,1 is to 6
Region III,Interworld College of Technology Foundation-Tarlac,639,29,1 is to 22
Region III,Jesus Is Lord Colleges Foundation,86,25,1 is to 3
Region III,Jose C. Feliciano College,606,37,1 is to 16
Region III,Lourdes College of Bulacan,103,13,1 is to 8
Region III,Magsaysay Memorial College,464,17,1 is to 27
Region III,Manuel V. Gallego Foundation Colleges,474,49,1 is to 10
Region III,Maria Assumpta Seminary,33,15,1 is to 2
Region III,Megabyte College of Science and Technology-Guagua,82,7,1 is to 12
Region III,Metro Subic Colleges,302,28,1 is to 11
Region III,Meycauayan College,1317,66,1 is to 20
Region III,Shepherds College,38,11,1 is to 3
Region III,Microcity Computer Colleges Foundation,144,17,1 is to 8
Region III,Midway Maritime Foundation,2853,56,1 is to 51
Region III,Mondriaan Aura College,668,35,1 is to 19
Region III,Mother of Good Counsel Seminary,82,27,1 is to 3
Region III,Mt. Carmel College,168,24,1 is to 7
Region III,Nazarenus College and Hospital Foundation,232,29,1 is to 8
Region III,Nueva Ecija Colleges,458,31,1 is to 15
Region III,Carthel Science Educational Foundation,661,36,1 is to 18
Region III,Osias Colleges,262,34,1 is to 8
Region III,Our Lady of Peace College Seminary,18,29,1 is to 1
Region III,Pamantasan ng Araullo,5286,151,1 is to 35
Region III,Pampanga Colleges,398,26,1 is to 15
Region III,La Consolacion University Philippines,2877,99,1 is to 29
Region III,Republic Central Colleges,767,52,1 is to 15
Region III,Saint Anthony College of Technology,157,20,1 is to 8
Region III,Saint Mary's College of Meycauayan,476,38,1 is to 13
Region III,St. Paul University at San Miguel,323,19,1 is to 17
Region III,San Jose Christian Colleges,1043,22,1 is to 47
Region III,Somascan Fathers Seminary,42,13,1 is to 3
Region III,STI College-Balanga,107,20,1 is to 5
Region III,STI College-City of Tarlac,587,18,1 is to 33
Region III,Systems Plus Computer College Foundation,1989,110,1 is to 18
Region III,Tomas Del Rosario College,640,44,1 is to 15
Region III,University of the Assumption,4093,103,1 is to 40
Region III,Virgen De Los Remedios College-Olongapo City,348,30,1 is to 12
Region III,Wesleyan University Philippines-Cabanatuan,5676,245,1 is to 23
Region III,Interworld Colleges Foundation-Paniqui,396,28,1 is to 14
Region III,La Fortuna College,692,38,1 is to 18
Region III,STI College-City of San Fernando,1398,43,1 is to 33
Region III,STI College-Angeles City,277,19,1 is to 15
Region III,STI College-Meycauayan,755,21,1 is to 36
Region III,STI College-Malolos,339,19,1 is to 18
Region III,United School of Science and Technology Colleges,911,45,1 is to 20
Region III,Concepcion Holy Cross College,451,25,1 is to 18
Region III,Northern Zambales College,400,25,1 is to 16
Region III,"Columban College-Sta. Cruz, Zambales",119,16,1 is to 7
Region III,College of St. Lawrence,497,31,1 is to 16
Region III,Sact Mutien College,14,ND,ND
Region III,Fernandez College of Arts and Technology,1539,73,1 is to 21
Region III,Micro Asia College of Science and Technology,368,20,1 is to 18
Region III,Sienna College of San Jose,246,33,1 is to 7
Region III,AMA Computer College-Cabanatuan City,487,23,1 is to 21
Region III,Comteq Computer and Business College,146,22,1 is to 7
Region III,Eastwoods Professional College of Science and Technology,420,31,1 is to 14
Region III,AMA Computer College-Malolos,435,15,1 is to 29
Region III,"AMA Computer College-San Fernando, Pampanga",257,22,1 is to 12
Region III,Dee Hwa Liong College Foundation,400,51,1 is to 8
Region III,Maritime Academy of Asia and the Pacific,1806,71,1 is to 25
Region III,Saint Joseph College of Bulacan,428,40,1 is to 11
Region III,Trinitas College,63,17,1 is to 4
Region III,AMA Computer College-Tarlac City,664,25,1 is to 27
Region III,Fundamental Baptist College for Asians,262,17,1 is to 15
Region III,Saint Paul College of Technology,152,16,1 is to 10
Region III,ABE International College of Business and Economics,378,3,1 is to 126
Region III,AMA Computer College-Angeles City,433,18,1 is to 24
Region III,Asia Pacific College of Advanced Studies,810,50,1 is to 16
Region III,"College of Mary Immaculate of Pandi, Bulacan",557,15,1 is to 37
Region III,Saint Mary's College of Baliuag,291,7,1 is to 42
Region III,Saint Augustine Colleges Foundation,132,17,1 is to 8
Region III,Saint Rose College Educational Foundation,198,9,1 is to 22
Region III,ABE International College of Business College,746,23,1 is to 32
Region III,AMA Computer College-Olongapo City,732,30,1 is to 24
Region III,La Concepcion College,543,31,1 is to 18
Region III,Colegio De San Gabriel Arcangel,2199,58,1 is to 38
Region III,Mary the Queen College-Pampanga,395,67,1 is to 6
Region III,Ecumenical Christian College,108,21,1 is to 5
Region III,Mount Carmel College of Casiguran,75,ND,ND
Region III,STI College-Sta. Maria,856,31,1 is to 28
Region III,STI College-Balagtas,452,32,1 is to 14
Region III,Lyceum of Subic Bay,931,63,1 is to 15
Region III,Santa Clara De Montefalco College,5,7,1 is to 1
Region III,First City Providential College,362,44,1 is to 8
Region III,College of the Most Holy Trinity,32,17,1 is to 2
Region III,Academia de San Lorenzo Dema Ala,185,26,1 is to 7
Region III,George Dewey Medical College,33,18,1 is to 2
Region III,St. Mary's Angel College of Pampanga,422,34,1 is to 12
Region III,St. Nicholas College of Business and Technology,1596,62,1 is to 26
Region III,Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan City,34,16,1 is to 2
Region III,College of Our Lady of Mt. Carmel-Pampanga,152,12,1 is to 13
Region III,"Central Luzon College of Science and Technology-City of San Fernando, Pampanga",922,24,1 is to 38
Region III,Colegio de San Juan de Letran ,455,44,1 is to 10
Region III,College of Subic Montessori,0,9,1 is to 0
Region III,STI College-Baliuag,452,32,1 is to 14
Region III,ACLC College of Meycauayan,782,15,1 is to 52
Region III,Colegio De Calumpit,98,13,1 is to 8
Region III,Gerona Junior College,108,21,1 is to 5
Region III,Holy Rosary Colleges Foundation of Calaba San Isidro Nueva Ecija,15,16,1 is to 1
Region III,Our Lady of Manaoag Montessori College,91,13,1 is to 7
Region III,Philippine Rehabilitation Institute Foundation,155,16,1 is to 10
Region III,St. Joseph's College of Balanga City,7,7,1 is to 1
Region III,Subic Bay College,ND,28,ND
Region III,Mater Redemptoris College of San Jose City,390,32,1 is to 12
Region III,Megabyte College of Science and Technology-Florida,265,10,1 is to 27
Region III,Philippine Women's University Career Development and Continuing Education Center-Bataan,154,30,1 is to 5
Region III,Centro Colegio De Tarlac,51,17,1 is to 3
Region III,Philippine Women's University Career Development and Continuing Education Center-Tarlac,334,23,1 is to 15
Region III,La Verdad Christian College,161,14,1 is to 12
Region III,St. Benilde Center for Global Competence,103,18,1 is to 6
Region III,Marian College of Baliuag,151,19,1 is to 8
Region III,ACLC College of Balanga,469,16,1 is to 29
Region III,ACLC College of Baliuag,104,11,1 is to 9
Region III,Liceo de Pulilan Colleges,123,29,1 is to 4
Region III,ACLC College of Gapan,455,26,1 is to 18
Region III,Our Lady of Sacred Heart College of Guimba,242,16,1 is to 15
Region III,ACLC College of Apalit,570,23,1 is to 25
Region III,Tarlac Christian College,119,16,1 is to 7
Region III,St. Linus Online Institute-St. Linus University,14,21,1 is to 1
Region III,New Era University,173,17,1 is to 10
Region III,Santa Rita College of Pampanga,67,17,1 is to 4
Region III,Aurora Polytechnic College,21,ND,ND
Region III,STI College San Jose,51,19,1 is to 3
Region III,RCC Colegio de San Rafael,0,ND,ND
Region III,Colegio de Sebastian,102,26,1 is to 4
Region III,Clark College of Science and Technology,4,30,1 is to 0
Region III,ACLC College of Mabalacat,93,7,1 is to 13
